hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,385000.00,VND,Superior Single Room,12,1,,0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,385000.00,VND,Superior Single Room,12,1,,0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,550000.00,VND,Deluxe Double Room,10,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,550000.00,VND,Deluxe Double Room,10,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,660000.00,VND,Deluxe Twin Room,10,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,660000.00,VND,Deluxe Twin Room,10,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,1320000.00,VND,Deluxe King Room,2,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
3040701,Hotels,SONG LONG Hotel,"122 Ly Thuong Kiet, Phu Loc 4",3.0,130,8.0,0,21.857462,106.765553,Tennis court (additional charge),0,0,0,1320000.00,VND,Deluxe King Room,2,2,"Mountain view, City view, Quiet street view, Landmark view",0,0,0,0
331956,Hotels,Muong Thanh Luxury Lang Son Hotel,68 Ngo Quyen,5.0,49,8.6,0,21.8532140289281,106.7662525177,,0,0,0,930000.00,VND,Deluxe Twin Room,4,2,,0,1,0,0
4378789,Hotels,Khách sạn TRIỆU KÝ VOÒNG,130 lý thường kiệt phường hoàng văn thụ thành phố Lạng Sơn,2.0,14,7.7,0,21.8613061835293,106.763589796295,,0,0,0,405000.00,VND,Standard King Room,20,2,"Mountain view, City view, Landmark view",1,0,0,0
4378789,Hotels,Khách sạn TRIỆU KÝ VOÒNG,130 lý thường kiệt phường hoàng văn thụ thành phố Lạng Sơn,2.0,14,7.7,0,21.8613061835293,106.763589796295,,0,0,0,495000.00,VND,Deluxe Double or Twin Room with City View,10,3,"Mountain view, City view, Landmark view",1,0,0,0
4632820,Hostels,Then And Now Homestay,"số 3 ngõ 19 Đường Bà Triệu Phường Đông Kinh No 3/19, Ba Trieu, Dong Kinh, Lang Son",0.0,174,9.4,0,21.8475420925693,106.762997789198,,0,0,0,135000.00,VND,Bunk Bed in Mixed Dormitory Room,8,1,"City view, Quiet street view, Landmark view, Inner courtyard view, Garden view",0,0,0,0
4632820,Hostels,Then And Now Homestay,"số 3 ngõ 19 Đường Bà Triệu Phường Đông Kinh No 3/19, Ba Trieu, Dong Kinh, Lang Son",0.0,174,9.4,0,21.8475420925693,106.762997789198,,0,0,0,150000.00,VND,Bunk Bed in Mixed Dormitory Room,4,1,"City view, Quiet street view, Landmark view, Inner courtyard view, Garden view",0,0,0,0
4632820,Hostels,Then And Now Homestay,"số 3 ngõ 19 Đường Bà Triệu Phường Đông Kinh No 3/19, Ba Trieu, Dong Kinh, Lang Son",0.0,174,9.4,0,21.8475420925693,106.762997789198,,0,0,0,170000.00,VND,Bunk Bed in Mixed Dormitory Room,4,2,"City view, Quiet street view, Landmark view, Inner courtyard view, Garden view",0,0,0,0
