hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
5557048,Lodges,Indigenous homestay 1,"32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái 32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái",0.0,64,9.6,0,21.7701683652408,104.164243610542,"Walking tours (additional charge), Tour or class about local culture (additional charge), Themed dinners (additional charge), Cooking class (additional charge), Horseback riding (additional charge), Live music/Performance (additional charge), Hiking (additional charge)",0,0,0,120000.00,VND,Bunk Bed in Mixed Dormitory Room,8,1,"Mountain view, City view, Landmark view, Lake view, River view, Garden view, Quiet street view",1,0,0,0
5557048,Lodges,Indigenous homestay 1,"32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái 32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái",0.0,64,9.6,0,21.7701683652408,104.164243610542,"Walking tours (additional charge), Tour or class about local culture (additional charge), Themed dinners (additional charge), Cooking class (additional charge), Horseback riding (additional charge), Live music/Performance (additional charge), Hiking (additional charge)",0,0,0,150000.00,VND,Standard Twin Room,1,1,,1,0,0,0
5557048,Lodges,Indigenous homestay 1,"32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái 32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái",0.0,64,9.6,0,21.7701683652408,104.164243610542,"Walking tours (additional charge), Tour or class about local culture (additional charge), Themed dinners (additional charge), Cooking class (additional charge), Horseback riding (additional charge), Live music/Performance (additional charge), Hiking (additional charge)",0,0,0,180000.00,VND,Standard Double Room with Shared Bathroom,4,1,"Mountain view, City view, Landmark view, Lake view, River view, Garden view, Quiet street view",1,0,0,0
5557048,Lodges,Indigenous homestay 1,"32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái 32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái",0.0,64,9.6,0,21.7701683652408,104.164243610542,"Walking tours (additional charge), Tour or class about local culture (additional charge), Themed dinners (additional charge), Cooking class (additional charge), Horseback riding (additional charge), Live music/Performance (additional charge), Hiking (additional charge)",0,0,0,225000.00,VND,Standard Double Room with Shared Bathroom,4,2,"Mountain view, City view, Landmark view, Lake view, River view, Garden view, Quiet street view",1,0,0,0
5557048,Lodges,Indigenous homestay 1,"32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái 32 highway, La Pán Tẩn, Mù Cang Chải, Yên Bái",0.0,64,9.6,0,21.7701683652408,104.164243610542,"Walking tours (additional charge), Tour or class about local culture (additional charge), Themed dinners (additional charge), Cooking class (additional charge), Horseback riding (additional charge), Live music/Performance (additional charge), Hiking (additional charge)",0,0,0,250000.00,VND,Standard Twin Room,1,2,,1,0,0,0
4535471,Motels,Vân Anh Guesthouse,Đường 70 Tổ 2 ngã ba km9 Thị Trấn Yên Bình,0.0,39,6.3,0,21.7417818360813,104.941808173294,,0,0,0,200000.00,VND,Standard Twin Room with Mountain View,14,4,"Mountain view, Quiet street view, City view",1,0,0,0
3550042,Economy hotels,Nhà Nghỉ Hòa Yến 2,Nguyễn thị minh khai Số 11Phường Trung Tâm,0.0,5,6.0,0,21.601974,104.510088,Hiking,0,0,0,200000.00,VND,Single Room,14,1,,1,0,0,0
3550042,Economy hotels,Nhà Nghỉ Hòa Yến 2,Nguyễn thị minh khai Số 11Phường Trung Tâm,0.0,5,6.0,0,21.601974,104.510088,Hiking,0,0,0,200000.00,VND,Single Room,7,1,,1,0,0,0
3550042,Economy hotels,Nhà Nghỉ Hòa Yến 2,Nguyễn thị minh khai Số 11Phường Trung Tâm,0.0,5,6.0,0,21.601974,104.510088,Hiking,0,0,0,300000.00,VND,Family Room,4,4,,1,0,0,0
4027422,Guesthouses,Nhà nghỉ Hòa Yến 1,"Alley 39, number 5, Nguyen Thi Minh Khai street",0.0,2,,0,21.683792,104.455136,,0,0,0,200000.00,VND,Standard Single Room,16,1,Mountain view,0,0,0,0
