hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
6384300,Hotels,Zannier Hotels Bai San Hô,"Hoa Thanh Hamlet, Xuan Canh Commune Song Cao District, Phu Yen Province",5.0,2,,0,13.544461,109.275719,"Walking tours, Water sports facilities (on site), Hiking, Bike tours, Cycling, Ping-pong, Tennis court, Canoeing, Tour or class about local culture, Fishing, Cooking class, Snorkeling",0,0,0,11300000.00,VND,Paddy Field Villa,20,2,,1,1,0,0
6384300,Hotels,Zannier Hotels Bai San Hô,"Hoa Thanh Hamlet, Xuan Canh Commune Song Cao District, Phu Yen Province",5.0,2,,0,13.544461,109.275719,"Walking tours, Water sports facilities (on site), Hiking, Bike tours, Cycling, Ping-pong, Tennis court, Canoeing, Tour or class about local culture, Fishing, Cooking class, Snorkeling",0,0,0,22900000.00,VND,Hill Pool Villa,10,2,,1,1,0,0
6384300,Hotels,Zannier Hotels Bai San Hô,"Hoa Thanh Hamlet, Xuan Canh Commune Song Cao District, Phu Yen Province",5.0,2,,0,13.544461,109.275719,"Walking tours, Water sports facilities (on site), Hiking, Bike tours, Cycling, Ping-pong, Tennis court, Canoeing, Tour or class about local culture, Fishing, Cooking class, Snorkeling",0,0,0,26300000.00,VND,Beach Pool Villa,10,2,,1,1,0,0
6384300,Hotels,Zannier Hotels Bai San Hô,"Hoa Thanh Hamlet, Xuan Canh Commune Song Cao District, Phu Yen Province",5.0,2,,0,13.544461,109.275719,"Walking tours, Water sports facilities (on site), Hiking, Bike tours, Cycling, Ping-pong, Tennis court, Canoeing, Tour or class about local culture, Fishing, Cooking class, Snorkeling",0,0,0,37300000.00,VND,Two-Bedroom Hill Pool Villa ,1,4,,1,1,0,0
6384300,Hotels,Zannier Hotels Bai San Hô,"Hoa Thanh Hamlet, Xuan Canh Commune Song Cao District, Phu Yen Province",5.0,2,,0,13.544461,109.275719,"Walking tours, Water sports facilities (on site), Hiking, Bike tours, Cycling, Ping-pong, Tennis court, Canoeing, Tour or class about local culture, Fishing, Cooking class, Snorkeling",0,0,0,40400000.00,VND,Two-Bedroom Beach Pool Villa,1,4,,1,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,756000.00,VND,Deluxe Double or Twin Room with Sea View,2,2,"Quiet street view, Ocean view, Inner courtyard view, Garden view, Pool view, Pool with a view",0,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,756000.00,VND,Superior Double or Twin Room with Garden View,2,2,"Pool view, Inner courtyard view, Garden view, Pool with a view",0,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,756000.00,VND,Double or Twin Room with Private Bathroom,1,2,"Garden view, Pool with a view",0,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,756000.00,VND,Superior Double or Twin Room with Sea View,2,2,"Quiet street view, Ocean view, Inner courtyard view, Garden view, Pool view, Pool with a view",0,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,760500.00,VND,Deluxe Double or Twin Room with Garden View,1,2,"Pool view, Inner courtyard view, Garden view, Pool with a view",0,1,0,0
3022543,Hotels,Sala Tuy Hoa Beach Hotel,"51 Doc Lap , ward 7 , TP.Tuy Hoà, Phú Yên",0.0,328,9.1,0,13.096402750749,109.321439917985,,0,0,0,763200.00,VND,King Room with Garden View,1,2,"Pool view, Inner courtyard view, Garden view, Pool with a view",0,1,0,0
6138112,Hotels,Coconut Hotel Phú Yên,"Hùng Vương 294 Hùng Vương, tp Tuy Hòa, Phú Yên",2.0,276,8.9,0,13.096951,109.311985,Tour or class about local culture (additional charge),0,0,0,281124.00,VND,Standard Double Room,4,2,,1,0,0,0
6138112,Hotels,Coconut Hotel Phú Yên,"Hùng Vương 294 Hùng Vương, tp Tuy Hòa, Phú Yên",2.0,276,8.9,0,13.096951,109.311985,Tour or class about local culture (additional charge),0,0,0,312930.00,VND,Superior Double Room,5,2,"Mountain view, City view, Landmark view, Inner courtyard view, Quiet street view",1,0,0,0
6138112,Hotels,Coconut Hotel Phú Yên,"Hùng Vương 294 Hùng Vương, tp Tuy Hòa, Phú Yên",2.0,276,8.9,0,13.096951,109.311985,Tour or class about local culture (additional charge),0,0,0,395010.00,VND,Deluxe Double Room,1,2,"Mountain view, City view, Landmark view, Lake view, Inner courtyard view, Garden view, Quiet street view",1,0,0,0
6138112,Hotels,Coconut Hotel Phú Yên,"Hùng Vương 294 Hùng Vương, tp Tuy Hòa, Phú Yên",2.0,276,8.9,0,13.096951,109.311985,Tour or class about local culture (additional charge),0,0,0,666900.00,VND,Family Room with Balcony,1,4,"Mountain view, City view, Landmark view, Lake view, Inner courtyard view, Garden view, Quiet street view, Pool with a view",1,0,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,1900000.00,VND,Premier Garden View,6,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,1900001.00,VND,Premier Garden View,6,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,2360000.00,VND,Junior Suite,2,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,2360001.00,VND,Junior Suite,2,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,3135000.00,VND,One-Bedroom Villa,8,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,3135001.00,VND,One-Bedroom Villa,8,2,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,5225000.00,VND,One Bedroom Pool Villa,2,2,"Pool view, Pool with a view",0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,5225001.00,VND,One Bedroom Pool Villa,2,2,"Pool view, Pool with a view",0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,5775000.00,VND,Two-Bedroom Villa,2,4,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,5775001.00,VND,Two-Bedroom Villa,2,4,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,7975000.00,VND,Four-Bedroom Pavilion,1,8,Garden view,0,1,0,0
4480747,Resorts,Stelia Beach Resort,Lô C1 đường Độc Lập,5.0,120,9.2,0,13.11424,109.308118,Cycling,0,0,0,7975001.00,VND,Four-Bedroom Pavilion,1,8,Garden view,0,1,0,0
4313429,Hotels,Rosa Alba Resort,"88 Lê Duẩn, Tuy Hoa, Phu Yen",5.0,129,8.2,0,13.109951,109.308785,Tennis court (additional charge),0,0,0,1800000.00,VND,Studio Double Ocean View,6,2,Ocean view,0,1,0,0
4313429,Hotels,Rosa Alba Resort,"88 Lê Duẩn, Tuy Hoa, Phu Yen",5.0,129,8.2,0,13.109951,109.308785,Tennis court (additional charge),0,0,0,1800000.00,VND,Studio Twin Ocean View,7,2,Ocean view,0,1,0,0
4313429,Hotels,Rosa Alba Resort,"88 Lê Duẩn, Tuy Hoa, Phu Yen",5.0,129,8.2,0,13.109951,109.308785,Tennis court (additional charge),0,0,0,4680000.00,VND,Two-Bedroom Villa with Garden View,10,4,"Garden view, Pool with a view",0,1,0,0
4313429,Hotels,Rosa Alba Resort,"88 Lê Duẩn, Tuy Hoa, Phu Yen",5.0,129,8.2,0,13.109951,109.308785,Tennis court (additional charge),0,0,0,6525000.00,VND,Beach Front Three-Bedroom Villa ,3,6,"Pool with a view, Ocean view",0,1,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,252000.00,VND,Standard King Room,6,2,,1,0,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,333900.00,VND,Superior King Room,2,2,City view,1,0,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,409500.00,VND,Superior Family Room,1,3,,1,0,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,441000.00,VND,Deluxe King Room,1,2,City view,1,0,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,472500.00,VND,Standard Quadruple Room,1,4,,1,0,0,0
6546346,Hotels,Marina Hotel Phú Yên,"343 Lê Lợi , phường 5, tp Tuy hòa ,tỉnh Phú yên 5 tầng",2.0,84,9.0,0,13.090289,109.311031,,0,0,0,504000.00,VND,Deluxe Family Room,2,3,City view,1,0,0,0
3472803,Resorts,Que Toi Village,"Khu phố Long Hải Đông, Xuan Yen, Song Cau",0.0,100,8.9,0,13.4662689262432,109.228051134922,"Cycling, Tour or class about local culture (additional charge), Water sports facilities (on site), Themed dinners (additional charge)",0,0,0,1891000.00,VND,Villa - Beach Front,20,2,Ocean view,0,1,0,0
4641160,Hotels,Khách sạn Hoàng My,"23 Nguyễn Du 23 Nguyễn Du, phường 7. thành phố Tuy Hòa, Phú Yên",2.0,141,8.6,0,13.0950612301869,109.317754682209,,0,0,0,249000.00,VND,Standard King Room,16,2,,1,0,0,0
4641160,Hotels,Khách sạn Hoàng My,"23 Nguyễn Du 23 Nguyễn Du, phường 7. thành phố Tuy Hòa, Phú Yên",2.0,141,8.6,0,13.0950612301869,109.317754682209,,0,0,0,330000.00,VND,Deluxe Queen Room,4,2,,1,0,0,0
4641160,Hotels,Khách sạn Hoàng My,"23 Nguyễn Du 23 Nguyễn Du, phường 7. thành phố Tuy Hòa, Phú Yên",2.0,141,8.6,0,13.0950612301869,109.317754682209,,0,0,0,360000.00,VND,Standard Quadruple Room,10,4,,1,0,0,0
4641160,Hotels,Khách sạn Hoàng My,"23 Nguyễn Du 23 Nguyễn Du, phường 7. thành phố Tuy Hòa, Phú Yên",2.0,141,8.6,0,13.0950612301869,109.317754682209,,0,0,0,400000.00,VND,6-Bed Mixed Dormitory Room,1,6,,1,0,0,0
