hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
4151506,Hotels,Khách sạn Sài Gòn Vĩnh Long,02 Trưng Nữ Vương,4.0,70,8.5,0,10.25612,105.968936,,0,0,0,1352941.00,VND,Superior Twin Room with City View,10,2,City view,0,1,0,0
4151506,Hotels,Khách sạn Sài Gòn Vĩnh Long,02 Trưng Nữ Vương,4.0,70,8.5,0,10.25612,105.968936,,0,0,0,1470588.00,VND,Deluxe Twin Room,8,2,,0,1,0,0
4151506,Hotels,Khách sạn Sài Gòn Vĩnh Long,02 Trưng Nữ Vương,4.0,70,8.5,0,10.25612,105.968936,,0,0,0,1647058.00,VND,Twin Room,3,2,River view,0,1,0,0
4151506,Hotels,Khách sạn Sài Gòn Vĩnh Long,02 Trưng Nữ Vương,4.0,70,8.5,0,10.25612,105.968936,,0,0,0,2823529.00,VND,Executive Suite,3,2,River view,0,1,0,0
6704161,Hotels,KHÁCH SẠN NGỌC HƯNG,"71 Phó Cơ Điều, phường 3, TP Vĩnh Long",3.0,44,8.8,0,10.23433,105.966426,Tennis court,0,0,0,330000.00,VND,Triple Room with City View,6,3,,1,0,0,0
6704161,Hotels,KHÁCH SẠN NGỌC HƯNG,"71 Phó Cơ Điều, phường 3, TP Vĩnh Long",3.0,44,8.8,0,10.23433,105.966426,Tennis court,0,0,0,330000.00,VND,Deluxe Twin Room,3,2,,1,0,0,0
6704161,Hotels,KHÁCH SẠN NGỌC HƯNG,"71 Phó Cơ Điều, phường 3, TP Vĩnh Long",3.0,44,8.8,0,10.23433,105.966426,Tennis court,0,0,0,330000.00,VND,Deluxe Double Room,3,2,,1,0,0,0
6704161,Hotels,KHÁCH SẠN NGỌC HƯNG,"71 Phó Cơ Điều, phường 3, TP Vĩnh Long",3.0,44,8.8,0,10.23433,105.966426,Tennis court,0,0,0,605000.00,VND,Family Suite,3,4,,1,0,0,0
6704161,Hotels,KHÁCH SẠN NGỌC HƯNG,"71 Phó Cơ Điều, phường 3, TP Vĩnh Long",3.0,44,8.8,0,10.23433,105.966426,Tennis court,0,0,0,851400.00,VND,Suite with City View,2,2,,1,0,0,0
2389824,Hotels,Thien Thanh Hotel,2G Hung Vuong,0.0,93,7.8,0,10.2544242605513,105.97447693084,,0,0,0,230000.00,VND,Standard Double Room,4,2,,1,0,0,0
2389824,Hotels,Thien Thanh Hotel,2G Hung Vuong,0.0,93,7.8,0,10.2544242605513,105.97447693084,,0,0,0,260000.00,VND,Deluxe Double Room,4,2,,1,0,0,0
2389824,Hotels,Thien Thanh Hotel,2G Hung Vuong,0.0,93,7.8,0,10.2544242605513,105.97447693084,,0,0,0,330000.00,VND,Quadruple Room,1,4,,1,0,0,0
2389824,Hotels,Thien Thanh Hotel,2G Hung Vuong,0.0,93,7.8,0,10.2544242605513,105.97447693084,,0,0,0,430000.00,VND,Deluxe Quadruple Room,1,4,,1,0,0,0
